customer_id,name,email,phone,lifetime_value,total_payments_count,successful_payments_count,success_rate
cust_01001,Dev Sharma,dev.sharma45@example.com,+919842868828,264138.16,48,44,0.919
cust_01002,Suresh Verma,suresh.verma85@example.com,+919866629388,58677.36,19,14,0.772
cust_01003,Aarav Nair,aarav.nair35@example.com,+919897226012,38698.8,16,8,0.543
cust_01004,Aarav Bhat,aarav.bhat30@example.com,+919866722344,21740.4,26,20,0.786
cust_01005,Yash Verma,yash.verma55@example.com,+919856164955,61401.12,25,16,0.674
cust_01006,Dev Kapoor,dev.kapoor58@example.com,+919820576383,291837.18,44,41,0.941
cust_01007,Vikram Joshi,vikram.joshi34@example.com,+919819335534,141951.78,23,18,0.802
cust_01008,Neha Deshmukh,neha.deshmukh22@example.com,+919861019678,38811.0,28,25,0.896
cust_01009,Vikram Patel,vikram.patel95@example.com,+919845833156,9980.62,4,2,0.632
cust_01010,Kabir Nair,kabir.nair41@example.com,+919831931511,201558.6,45,36,0.812
cust_01011,Neha Chopra,neha.chopra51@example.com,+919817507864,61001.46,25,18,0.757
cust_01012,Ananya Patel,ananya.patel82@example.com,+919852235350,149493.24,46,39,0.865
cust_01013,Rohan Gupta,rohan.gupta41@example.com,+919885345555,209183.96,32,29,0.922
cust_01014,Yash Singh,yash.singh38@example.com,+919828566572,41582.94,8,6,0.771
cust_01015,Isha Chopra,isha.chopra30@example.com,+919866661351,286924.68,43,36,0.838
cust_01016,Rahul Mehta,rahul.mehta80@example.com,+919811540956,48654.08,19,8,0.439
cust_01017,Tanvi Verma,tanvi.verma47@example.com,+919868353204,116753.1,21,15,0.751
cust_01018,Kabir Nair,kabir.nair23@example.com,+919893926371,69601.56,43,38,0.897
cust_01019,Vikram Bhat,vikram.bhat30@example.com,+919882394227,0.0,1,0,0.364
cust_01020,Priya Sharma,priya.sharma24@example.com,+919858718453,15006.46,11,7,0.683
cust_01021,Neha Kapoor,neha.kapoor82@example.com,+919820570592,54813.36,9,7,0.862
cust_01022,Suresh Bhat,suresh.bhat26@example.com,+919827232410,11704.7,7,5,0.722
cust_01023,Rajesh Kumar,rajesh.kumar37@example.com,+919882383095,40503.3,24,15,0.635
cust_01024,Vikram Rao,vikram.rao76@example.com,+919870597444,9239.2,26,20,0.802
cust_01025,Suresh Patel,suresh.patel85@example.com,+919839557077,14439.95,8,7,0.913
cust_01026,Aditi Deshmukh,aditi.deshmukh52@example.com,+919819510312,56538.98,36,29,0.814
cust_01027,Isha Reddy,isha.reddy83@example.com,+919887337818,49452.48,31,28,0.93
cust_01028,Dev Chopra,dev.chopra65@example.com,+919857553014,32909.46,8,6,0.857
cust_01029,Dev Sharma,dev.sharma61@example.com,+919855540424,5293.83,8,3,0.437
cust_01030,Amit Gupta,amit.gupta64@example.com,+919834627347,25984.77,9,7,0.807
cust_01031,Suresh Verma,suresh.verma16@example.com,+919897529405,0.0,2,0,0.334
cust_01032,Neha Gupta,neha.gupta62@example.com,+919875181648,10973.97,8,7,0.949
cust_01033,Aarav Kumar,aarav.kumar43@example.com,+919871070189,194270.76,40,36,0.91
cust_01034,Priya Gupta,priya.gupta34@example.com,+919849823450,22311.73,39,29,0.763
cust_01035,Tanvi Sharma,tanvi.sharma16@example.com,+919888406989,54440.28,38,36,0.961
cust_01036,Rahul Verma,rahul.verma33@example.com,+919819196777,61363.26,20,18,0.905
cust_01037,Kavita Patel,kavita.patel84@example.com,+919889795010,172594.08,47,36,0.769
cust_01038,Rahul Singh,rahul.singh43@example.com,+919837415205,16737.75,10,5,0.507
